Id_classes;tsx_02202013_T11;tsx_03102013_T11;tsx_04152013_T11;tsx_05042013_T11;tsx_15052013_T11;tsx_06172013_T11;tsx_07202013_T11;tsx_09242013_T11;tsx_02202013_T22;tsx_03102013_T22;tsx_04152013_T22;tsx_05042013_T22;tsx_15052013_T22;tsx_06172013_T22;tsx_07202013_T22;tsx_09242013_T22
1.000000;-0.194975;-0.758027;-2.107860;-1.719530;-4.276470;2.000130;1.128300;-0.251624;-3.6753;-5.0365;-3.8539;-6.4708;-8.6073;-2.0237;-4.3985;-4.7922
1.000000;-0.652059;-1.889420;-2.998650;-3.873020;-3.166980;-0.861904;-3.767240;-5.812490;-1.3759;-5.4902;-6.0758;-9.8657;-5.7708;-7.0111;-9.3392;-8.7065
1.000000;2.199940;-2.527390;-3.087730;-2.183880;-2.860280;0.974581;1.740390;1.910110;-2.4462;-3.8038;-5.0845;-7.8907;-4.9165;-7.1874;-7.2440;-4.7864
1.000000;-0.221079;-1.937350;-2.835060;-3.658390;-2.276150;3.533070;1.487840;-2.121940;-3.3604;-5.5815;-9.3881;-9.1784;-3.8351;-0.3338;-3.6181;-8.7361
1.000000;-1.743790;-0.747825;-3.175480;-2.970120;-2.017660;1.641530;5.567990;-1.581190;-3.3215;-4.9503;-5.4121;-8.1228;-3.9121;-4.5380;-4.4508;-4.2588
1.000000;-2.739870;1.403660;-1.858920;-3.220240;-0.322744;2.653640;4.684650;1.385250;-6.1521;-5.9346;-3.7960;-7.2686;-4.3648;1.4863;-2.0121;-5.0076
1.000000;-1.171270;-2.184910;-1.978390;-4.683840;-3.268850;1.616550;-0.421126;3.728320;-4.9485;-4.7662;-6.8683;-8.2250;-6.4330;-2.4952;-7.7466;-5.0594
1.000000;-1.845490;-0.779928;-3.287720;-2.306130;-4.639200;1.363680;2.738900;-0.563252;-5.0707;-5.3816;-4.8322;-5.8042;-7.4419;-4.4895;-6.9977;-6.0512
1.000000;-6.965940;-1.216030;-0.887552;-2.115270;-1.452710;-0.490124;-1.255830;-2.255330;-8.6117;-3.7342;-6.0732;-7.5016;-5.5067;-5.9135;-6.4648;-5.6357
1.000000;-2.497570;0.013356;0.683213;-0.236091;-1.292300;1.622880;1.051960;-1.389060;-4.7632;-1.3513;-4.9351;-3.1282;-3.2478;-5.1447;-6.8308;-6.3145
1.000000;-4.351290;-3.313090;-6.259160;-7.062510;-7.027320;-11.224300;-13.149300;-7.572470;-2.9848;-5.4569;-7.7825;-8.6868;-10.2804;-12.2665;-12.4944;-14.4517
1.000000;-2.758960;-3.658330;-3.429670;-4.320250;-9.022660;-6.515460;-8.146030;-9.335430;-7.7287;-5.6501;-4.7813;-9.5346;-11.0778;-12.3871;-9.5257;-12.4792
1.000000;-7.063080;-3.700390;-4.960240;-8.006200;-7.412350;-8.785510;-12.842500;-8.911350;-9.7467;-6.4118;-7.4709;-9.3431;-9.6831;-9.3174;-12.7106;-11.5476
1.000000;0.553363;-4.880180;-2.402680;-5.105060;-4.898100;-6.369830;-6.813560;-6.788310;-5.6807;-6.8996;-7.8718;-9.4714;-12.6183;-11.8435;-12.1525;-11.1883
1.000000;-1.768200;-3.470830;-2.431500;-7.419490;-11.454000;-6.626510;-10.489600;-11.219800;-4.2352;-6.4505;-6.3792;-9.2728;-11.3122;-12.8682;-14.2752;-12.0121
1.000000;-8.858530;-7.040850;-8.177240;-11.111900;-13.764200;-13.995600;-13.274200;-15.928200;-9.0926;-10.6913;-10.1910;-13.8614;-14.2530;-15.7211;-15.3096;-15.0015
1.000000;-4.536360;-7.060650;-5.196340;-8.182010;-7.086040;-10.887900;-6.289450;-11.091800;-8.8530;-11.2197;-8.4148;-11.1227;-12.6993;-12.0767;-13.2405;-12.2057
1.000000;-1.961710;-2.105980;-3.154600;-5.600290;-9.902030;-10.817200;-9.257080;-10.375600;-7.0754;-7.8245;-4.3175;-8.2073;-12.5994;-12.6353;-12.1428;-13.1562
1.000000;0.957379;-4.631970;-2.419130;-6.340240;-8.104810;-8.146880;-8.250350;-9.486320;-1.0460;-7.5549;-6.5904;-10.7867;-10.8577;-10.9963;-12.4640;-12.4461
1.000000;-0.698671;-2.920490;-3.403100;-7.589850;-4.489280;-10.330300;-6.704140;-7.772290;-5.3583;-5.8070;-6.7077;-10.7358;-8.6792;-11.6886;-11.9266;-14.2386
1.000000;-1.069440;-8.042480;-7.922830;-10.334800;-11.726900;-12.184800;-14.696300;-15.347000;-2.8716;-11.9421;-9.8916;-14.1530;-15.9715;-15.2741;-15.3176;-16.7057
1.000000;-0.756453;-1.753220;-2.401360;-3.516230;-8.137050;-4.037140;-6.071300;-4.493580;-4.7589;-6.4250;-6.0114;-9.0950;-9.1560;-6.8594;-11.0616;-6.6512
1.000000;1.901050;-0.545872;-2.495580;-4.504820;-7.262870;-3.840650;-5.885340;-3.538140;0.2738;-4.6870;-4.4773;-7.6686;-12.3012;-8.9062;-8.8009;-10.8248
1.000000;0.710019;-2.801720;-2.459450;-1.221680;-9.834510;-9.065870;-10.353000;-7.582640;-1.7412;-3.6509;-6.4659;-5.8716;-10.7449;-10.9229;-14.3178;-9.5714
1.000000;-1.318160;-2.878340;-1.389730;-1.437650;-1.307030;-0.629243;-0.196619;-1.962700;-4.9386;-3.2270;-4.9466;-4.0113;-5.1852;-2.9162;-5.0836;-4.5111
1.000000;0.060630;-0.166874;-0.779013;-1.791200;-5.973100;-2.155600;-2.989730;-4.063060;-0.9102;-3.0381;-3.8414;-5.8449;-8.4050;-4.9091;-8.3599;-6.6123
1.000000;-0.604821;-1.098980;-3.121860;-2.236330;-3.401550;0.856258;-4.391210;-3.281280;-7.3232;-4.9515;-5.2726;-5.6000;-9.2922;-3.7425;-7.9675;-7.1756
