name,a,b,nL,nR,p order,c 300K,c 77K
GR1,730,756,5,5,3,2,1
ND1,390,397,1,1,3,2,1
NV-,630,644,5,5,3,0.122819946,0.029735355
NV0,568,682,5,5,3,0.217296827,0.056497175
