source,name,slug
esv,Ekonomistyrningsverket,ekonomistyrningsverket
hdi,Human Development Index,human-development-index
meps,MEPS,meps
mynewsflash,MyNewsFlash,mynewsflash
nobel,The Nobel Prize,the-nobel-prize
oecd,OECD,oecd
sipri,Sipri,sipri
skolverket,Skolverket,skolverket
unsc,United Nations Security Council,united-nations-security-council
valforsk,Valforskningsprogrammet,valforskningsprogrammet
wikipedia,Wikipedia,wikipedia
worldbank,World Bank,world-bank
