Adres_volgens_Google,Brin,Gemeente,Instellingsnaam_volgens_Google,NaamInstelling,OvAfstand,OvAfstandMeter,OvReistijd,OvReistijdSeconden,StatusGoogleAfstand,StatusGoogleLonLat,latitude,longitude,test
"Van der Brugghenlaan 2-6, 3118 LA Schiedam, Netherlands",00JR,SCHIEDAM,Spieringshoek,SGM Spieringshoek,"38,5 km",38537.0,1 uur 10 min.,4183.0,OK,OK,51.918772,4.3776699,test
"Assumburg 10, 2135 BA Hoofddorp, Netherlands",00IP,HAARLEMMERMEER,Kath Sgm Hoofddorp,Kath SGM Hoofddorp,"36,9 km",36932.0,52 min.,3136.0,OK,OK,52.3043913,4.6659902,test
"Stijn Streuvelslaan, 4873 EB Etten-Leur, Netherlands",00KV,ETTEN-LEUR,KSE,KSE 00KV,"97,9 km",97909.0,1 uur 53 min.,6776.0,OK,OK,51.5674289,4.6474095,test
"Landsraderweg 3, 6271 NT Gulpen, Netherlands",01GL,GULPEN-WITTEM,Sophianum Scholengemeenschap in het Heuvelland,Sophianum SGM i h Heuvelland,256 km,256325.0,6 uur 28 min.,23260.0,OK,OK,50.810239,5.8913367,test
"De Gaard 4, 5146 AW Waalwijk, Netherlands",01GH,WAALWIJK,koning Willy College,Willem v Oranje College,120 km,120211.0,2 uur 21 min.,8476.0,OK,OK,51.6752251,5.0443814,test
"Dirk Boutslaan 25, 5613 LH Eindhoven, Netherlands",01FY,EINDHOVEN,Augustinianum,Augustinianum SGM,155 km,155099.0,8 uur 5 min.,29076.0,OK,OK,51.43278859999999,5.4999766,test
"Wilhelminasingel 13-15, 6524 DB Nijmegen, Netherlands",00CB,EINDHOVEN,Sgm Vo Vrije Schoolond,SGM VO Vrije Schoolond,149 km,148932.0,7 uur 48 min.,28078.0,OK,OK,51.8407376,5.8635357,test
"Waezenburglaan 55, 9351 HC Leek, Netherlands",00DI,LEEK,rsg de Borgen Lindenborg,rsg de Borgen,211 km,210989.0,7 uur 41 min.,27655.0,OK,OK,53.16178559999999,6.369062599999999,test
"Wethouder Rebellaan 135, 3771 KA Barneveld, Netherlands",00SZ,BARNEVELD,Johannes Fontanus College,Joh Fontanus College,113 km,112567.0,2 uur 0 min.,7215.0,OK,OK,52.1490253,5.5806983,test
"Burchtpoort 3, 3452 MD Utrecht, Netherlands",00RO,UTRECHT,Amadeus Lyceum,Amadeus Lyceum,"44,4 km",44436.0,1 uur 18 min.,4652.0,OK,OK,52.0941713,5.0112137,test
"Kwakkenbergweg 27, 6523 MJ Nijmegen, Netherlands",00RZ,NIJMEGEN,Montessori College,Montessori College,131 km,131159.0,2 uur 33 min.,9154.0,OK,OK,51.8300267,5.8896076,test
"Van Den Endelaan 5a, 2182 ES Hillegom, Netherlands",00UZ,HILLEGOM,"Fioretti College, Hillegom",Fioretti College,"27,6 km",27553.0,1 uur 9 min.,4141.0,OK,OK,52.2952351,4.577249999999999,test
"Willem de Zwijgerlaan 240, 3136 AX Vlaardingen, Netherlands",00VR,VLAARDINGEN,St.- Jozefmavo,St.- Jozefmavo,"44,0 km",44029.0,1 uur 24 min.,5016.0,OK,OK,51.9280173,4.3429838,test
"Vreeswijksestraatweg 6-a, 3432 GN Nieuwegein, Netherlands",00VY,NIEUWEGEIN,Cals College,RK SGM Cals College,"59,5 km",59454.0,1 uur 33 min.,5557.0,OK,OK,52.02776,5.094113999999999,test
"Jan Steenlaan 38, 3723 BV Bilthoven, Netherlands",00TL,DE BILT,Het Nieuwe Lyceum,Het Nieuwe Lyceum,"60,3 km",60272.0,1 uur 30 min.,5377.0,OK,OK,52.1340944,5.1964969,test
"Mammoetstraat 1-3, 6671 DL Zetten, Netherlands",00TM,OVERBETUWE,Hendrik Pierson College,Hendrik Pierson College,112 km,111970.0,7 uur 40 min.,27614.0,OK,OK,51.9286821,5.7226337,test
,00TQ,ARNHEM,,SGM Marindael VBO LWOO,109 km,109132.0,1 uur 49 min.,6515.0,OK,Er ging iets mis,,,test
"Valenciadreef 15, 3067 WL Rotterdam, Netherlands",00TU,ROTTERDAM,Geref Sgm Randstad,Geref SGM Randstad,"50,1 km",50086.0,1 uur 19 min.,4752.0,OK,OK,51.9452518,4.5597184,test
"Graaf Wichman 175, 1276 KD Huizen, Netherlands",00UM,HUIZEN,Erfgooiers College,Erfgooiers College,"77,7 km",77745.0,1 uur 44 min.,6264.0,OK,OK,52.29819,5.24442,test
"Werflaan 45, 2725 DE Zoetermeer, Netherlands",01MB,ZOETERMEER,Alfrink College,RK Alfrink College SGM,"16,8 km",16843.0,56 min.,3384.0,OK,OK,52.0709919,4.5020197,test
"Wendeling 59, 7824 TB Emmen, Netherlands",00PF,EMMEN,Carmel College Emmen,Carmelcollege Emmen,229 km,228845.0,7 uur 42 min.,27701.0,OK,OK,52.7786193,6.9272117,test
"Zangvogelweg 4, 3815 DL Amersfoort, Netherlands",00ML,AMERSFOORT,Mavo Muurhuizen,Meridiaancollege RK SGM,"95,8 km",95838.0,1 uur 50 min.,6609.0,OK,OK,52.1612202,5.4067725,test
"Eperweg 34-a, 8181 EW Heerde, Netherlands",00MP,HEERDE,The Noordgouw,De Noordgouw,168 km,168012.0,2 uur 23 min.,8581.0,OK,OK,52.38224700000001,6.033058,test
"F.A. Molijnlaan 184, 8071 AK Nunspeet, Netherlands",01FU,NUNSPEET,Nuborgh College Veluvine,Nuborgh College loc. Veluvine,113 km,113128.0,2 uur 25 min.,8695.0,OK,OK,52.38273539999999,5.7893349,test
"Craneveldstraat 33, 5914 SG Venlo, Netherlands",01GN,VENLO,Valuascollege,Valuascollege,197 km,197429.0,2 uur 59 min.,10748.0,OK,OK,51.3751626,6.1743859,test
"Slenkstraat 50, 1441 MS Purmerend, Netherlands",01EO,PURMEREND,Purmerendse Sgm,Purmerendse SGM,"69,6 km",69607.0,1 uur 10 min.,4191.0,OK,OK,52.5033655,4.9576116,test
"38, Great Sminia, Ferwert, Netherlands",00ZX,FERWERDERADIEL,Dockinga College Ferwert,Dockingacollege,273 km,272509.0,8 uur 35 min.,30901.0,OK,OK,53.3387272,5.8313811,test
"Peelveldlaan 60, 6071 TV Swalmen, Netherlands",14PS,ROERMOND,Bisschop Coll Broekhin,Bisschop Coll Broekhin,289 km,288919.0,7 uur 28 min.,26859.0,OK,OK,51.2389962,6.0507406,test
"Jansoniusstraat 2A, 8934 BM Leeuwarden, Netherlands",12VI,LEEUWARDEN,Nordwin College,Nordwin College,244 km,244045.0,2 uur 55 min.,10523.0,OK,OK,53.19397439999999,5.806108999999999,test
"Hossenbosdijk 14-16, 3232 PX Brielle, Netherlands",11ZH,BRIELLE,Packs By Cris,Maerlant,"62,4 km",62440.0,2 uur 1 min.,7265.0,OK,OK,51.8910887,4.178685,test
"Piet Heinstraat 1, 7772 ZJ Hardenberg, Netherlands",12IR,HARDENBERG,"De Nieuwe Veste, locatie Hardenberg",Sgm de Nieuwe Veste,192 km,191749.0,2 uur 22 min.,8525.0,OK,OK,52.5717624,6.6216832,test
"Fazantenlaan 1, 3222 AM Hellevoetsluis, Netherlands",12RB,HELLEVOETSLUIS,Helinium,Scholengemeenschap Helinium,"66,2 km",66250.0,1 uur 57 min.,7041.0,OK,OK,51.8347135,4.1211847,test
"Beatrixlaan 25, 5721 LZ Asten, Netherlands",13PE,ASTEN,Varendonck-College,Varendonck College,225 km,225476.0,8 uur 15 min.,29695.0,OK,OK,51.3991732,5.7322874,test
"Boendersveld 3, 1602 DK Enkhuizen, Netherlands",13EE,ENKHUIZEN,RSG-Enkhuizen,Regionale Sgm Enkhuizen,103 km,103277.0,2 uur 17 min.,8215.0,OK,OK,52.70858399999999,5.2696771,test
"Schotweg 1, 8162 GM Epe, Netherlands",13JO,EPE,RSG North East Veluwe,Rsgm Noord Oost Veluwe,155 km,154901.0,2 uur 33 min.,9196.0,OK,OK,52.3498306,5.9778999,test
"Bergweg 14, 4461 NB Goes, Netherlands",13OR,GOES,Het Goese Lyceum,"Locatie, Het Goese Lyceum",149 km,149346.0,2 uur 46 min.,9935.0,OK,OK,51.5006005,3.9019857,test
"De Hoefslag 40, 9285 RV Buitenpost, Netherlands",00ZV,ACHTKARSPELEN,Lauwers College,Lauwers College,269 km,268694.0,7 uur 19 min.,26338.0,OK,OK,53.2496938,6.155042099999999,test
"Pieter Kieftstraat 20, 1902 RA Castricum, Netherlands",00ZD,CASTRICUM,Bonhoeffercollege,Bonhoeffer College,"52,7 km",52731.0,1 uur 19 min.,4732.0,OK,OK,52.5412494,4.6674548,test
"8224 KR Lelystad, Netherlands",00ZO,LELYSTAD,Scholengemeenschap ISG ARCUS,ISG Arcus,101 km,100823.0,1 uur 22 min.,4920.0,OK,OK,52.5106985,5.4801389,test
"Hartman Sannesstraat 5, 9076 EB Sint Annaparochie, Netherlands",01BE,WAADHOEKE,Power By AWL ™ ®,C.S.G Ulbe Van Houten,262 km,262434.0,8 uur 46 min.,31572.0,OK,OK,53.27481119999999,5.6534111,test
"Torenlaan 81, 3742 CS Baarn, Netherlands",00YO,BAARN,Waldheim-mavo,Prot Chr Mavo Waldheim,"84,5 km",84479.0,1 uur 32 min.,5540.0,OK,OK,52.2000462,5.2909668,test
"Assendorperdijk 55, 8012 EG Zwolle, Netherlands",01AA,ZWOLLE,Stichting Landstede,Landstede,152 km,152101.0,2 uur 21 min.,8484.0,OK,OK,52.5048232,6.1112664,test
"Bunuellaan 4, 1325 PL Almere, Netherlands",01FP,ALMERE,Het Baken,Het Baken,"78,9 km",78938.0,1 uur 23 min.,4988.0,OK,OK,52.3655347,5.2445345,test
"Pandora 1-2, 1183 KK Amstelveen, Netherlands",00WD,AMSTELVEEN,School Panta Rhei,sg Panta Rhei,"49,7 km",49714.0,1 uur 8 min.,4092.0,OK,OK,52.302187,4.877999,test
"Hoefslag 11, 4205 NK Gorinchem, Netherlands",00WH,GORINCHEM,Gomarus Scholengemeenschap,Gomarusschool s.g.,"92,7 km",92698.0,2 uur 15 min.,8115.0,OK,OK,51.848274,4.968954,test
"Kon. Wilhelminalaan 2, 4205 ET Gorinchem, Netherlands",00YH,GORINCHEM,De Windroos,"Locatie, Windroos","84,4 km",84378.0,1 uur 50 min.,6576.0,OK,OK,51.8402936,4.969405399999999,test
"Korenlaan 1, 3881 DA Putten, Netherlands",00WI,PUTTEN,Chr college groevenbeek,Chr. College Groevenbeek,"93,9 km",93928.0,2 uur 17 min.,8193.0,OK,OK,52.265065,5.6136433,test
"Beukenlaan 1, 1701 DA Heerhugowaard, Netherlands",00XA,HEERHUGOWAARD,Trinitas College,Trinitas College,"78,8 km",78809.0,2 uur 6 min.,7532.0,OK,OK,52.6641255,4.8503588,test
"Dobbelaan 4, 2262 EA Leidschendam, Netherlands",00XK,LEIDSCHENDAM-VOORBURG,Veurs College,Veurs College,"14,7 km",14718.0,57 min.,3434.0,OK,OK,52.09250489999999,4.3888487,test
"Collegeweg 1, 4942 VC Raamsdonksveer, Netherlands",01IW,GEERTRUIDENBERG,Dongemond college,Dongemond College,105 km,104658.0,2 uur 25 min.,8721.0,OK,OK,51.7035152,4.8708235,test
"Hengelosestraat 481, 7521 AG Enschede, Netherlands",01IC,ENSCHEDE,AOC East,AOC Oost,214 km,214086.0,3 uur 8 min.,11281.0,OK,OK,52.2336934,6.859071999999999,test
"Zuider Emmakade 43, 2012 KN Haarlem, Netherlands",01LZ,HAARLEM,Eerste Christelijk Lyceum,SGM Eerste Chr Lyc VWO,"27,6 km",27564.0,47 min.,2814.0,OK,OK,52.3723587,4.620286300000001,test
"Obrechtstraat 48, 2625 XC Delft, Netherlands",01GX,DELFT,Chr Lyceum Delft,Chr Lyceum Delft,"26,4 km",26420.0,54 min.,3245.0,OK,OK,51.995372,4.347226,test
"Van Asch van Wijckskade 20, 3512 VS Utrecht, Netherlands",01KF,UTRECHT,St. Gregorius College,St Gregorius College,"51,6 km",51616.0,1 uur 8 min.,4080.0,OK,OK,52.0964348,5.1207465,test
"Badmintonpad 15, 2023 BT Haarlem, Netherlands",01KL,HAARLEM,Middelbare Technische School,Sterren Coll Haarlem,"31,5 km",31494.0,56 min.,3375.0,OK,OK,52.394943,4.6242947,test
"Aartshertogenlaan 108, 5212 CM 's-Hertogenbosch, Netherlands",01GV,S HERTOGENBOSCH,Sancta Maria Mavo,Mavoschool Sancta Maria,101 km,100861.0,1 uur 53 min.,6798.0,OK,OK,51.6995144,5.3082223,test
"Jan van Eijckstraat 47, 1077 LH Amsterdam, Netherlands",01ET,AMSTERDAM,St. Ignatiusgymnasium,St. Ignatiusgymnasium,"47,7 km",47731.0,1 uur 0 min.,3591.0,OK,OK,52.34966379999999,4.8740523,test
"Doctorandus F. Bijlweg 10, 1784 MC Den Helder, Netherlands",00MV,DEN HELDER,Beroepsonderwijs aan Zee,"Loc,Beroepsonderwijs aan Zee",121 km,120823.0,2 uur 25 min.,8679.0,OK,OK,52.94117240000001,4.750962299999999,test
"Deltaweg 205, 5709 AB Helmond, Netherlands",00NE,HELMOND,Jan van Brabant College - Deltaweg,J v Br College vest Deltaweg,160 km,160423.0,2 uur 33 min.,9174.0,OK,OK,51.471238,5.703793999999999,test
"Oosterweg 189, 6602 HL Wijchen, Netherlands",00OB,WIJCHEN,Maaswaal College,Maaswaal College,134 km,134020.0,2 uur 37 min.,9444.0,OK,OK,51.8021043,5.7383954,test
"Noorderweg 79, 3761 EV Soest, Netherlands",01NZ,SOEST,Griftland College,Griftland College,"75,7 km",75662.0,1 uur 49 min.,6545.0,OK,OK,52.1933572,5.28935,test
"Waltersingel 130, 7314 NX Apeldoorn, Netherlands",02RA,APELDOORN,Veluws College Walterbosch,KSGM Veluws College,147 km,146590.0,7 uur 49 min.,28151.0,OK,OK,52.2122116,5.9338245,test
"Beukenstraat 80, 5753 GD Deurne, Netherlands",02QP,DEURNE,Willibrord Gymnasium,St Willibrord Gymnasium,168 km,167980.0,2 uur 34 min.,9248.0,OK,OK,51.4470659,5.781155399999999,test
"Kasteelselaan 50, 6574 AJ Ubbergen, Netherlands",02QQ,BERG EN DAL,Havo Notre Dame des Anges,Notre Dame Des Anges,133 km,132679.0,2 uur 45 min.,9916.0,OK,OK,51.8364809,5.9063986,test
"Titus Brandsmalaan 1, 5262 BS Vught, Netherlands",02QT,VUGHT,Maurick College,Maurick College,104 km,104216.0,2 uur 13 min.,7966.0,OK,OK,51.6505504,5.2809113,test
"Vondelstraat 41, 1813 BA Alkmaar, Netherlands",02QX,ALKMAAR,Petrus Canisius College Oosterhout,Petrus Canisius College,"69,5 km",69452.0,1 uur 55 min.,6874.0,OK,OK,52.6210535,4.749044,test
"Leeghwaterweg 7, 1509 BS Zaandam, Netherlands",02TZ,ZAANSTAD,St. Michaël College,RK SGM St Michaelcollege,"63,1 km",63147.0,1 uur 19 min.,4725.0,OK,OK,52.4741087,4.8254929,test
"Hemmenlaan 2, 9751 NS Haren, Netherlands",01UH,HAREN,Maartenscollege Haren (MCH),Maartenscollege,251 km,251353.0,7 uur 52 min.,28293.0,OK,OK,53.184901,6.593226,test
"Hemsterhuisstraat 79, 1065 JX Amsterdam, Netherlands",01TC,AMSTERDAM,Hervormd Lyceum West,Hervormd Lyceum West,"46,3 km",46262.0,55 min.,3296.0,OK,OK,52.3625578,4.8254985,test
"Laan van Borgele 60, 7415 DJ Deventer, Netherlands",01VJ,DEVENTER,Etty Hillesum Lyceum,Etty Hillesum Lyceum,186 km,185932.0,8 uur 2 min.,28948.0,OK,OK,52.271085,6.155766,test
"Grote Bos 2, 5666 AZ Geldrop, Netherlands",01XL,GELDROP-MIERLO,Strabrecht College,Strabrechtcollege,153 km,153380.0,8 uur 12 min.,29503.0,OK,OK,51.4272317,5.5758888,test
"Anklaarseweg 71, 7316 MB Apeldoorn, Netherlands",01RL,APELDOORN,Jacobus Fruytier Scholengemeenschap,Jacobus Fruijtier SGM,141 km,141053.0,2 uur 16 min.,8157.0,OK,OK,52.2356,5.965345,test
"Robonsbosweg 11, 1816 MK Alkmaar, Netherlands",01XF,ALKMAAR,Willem Blaeu College,Willem Blaeu,"66,2 km",66222.0,1 uur 43 min.,6164.0,OK,OK,52.6389647,4.7228652,test
"Goffertweg 20, 6532 AA Nijmegen, Netherlands",01VN,NIJMEGEN,Het Rijks VMBO campus,Het Rijks VMBO Campus,134 km,133714.0,2 uur 37 min.,9437.0,OK,OK,51.8292701,5.8395977,test
"Hendrik Ringenoldusstrjitte 3, 8401 PV Gorredijk, Netherlands",01WM,OPSTERLAND,Burg Harmsma School SGv VO/VMBO,Burg Harmsma SGM,249 km,249409.0,7 uur 58 min.,28669.0,OK,OK,53.0071065,6.0667589,test
"Bradleystraat 25, 6135 CV Sittard, Netherlands",01MO,SITTARD-GELEEN,Stichting Trevianum,Atheneum Trevianum,262 km,262035.0,6 uur 39 min.,23913.0,OK,OK,51.0073835,5.848339,test
"Contactweg 36, 1014 AN Amsterdam, Netherlands",02PA,AMSTERDAM,Mediacollege Amsterdam,Mediacollege Amsterdam Ma,"45,1 km",45053.0,1 uur 1 min.,3666.0,OK,OK,52.39100579999999,4.8560905,test
"Rietberglaan 6, 3771 RD Barneveld, Netherlands",01MU,BARNEVELD,De Meerwaarde,De Meerwaarde,113 km,113272.0,1 uur 55 min.,6879.0,OK,OK,52.1312972,5.600629,test
"Burgemeester J.G. Legroweg 29, 9761 TA Eelde, Netherlands",01NJ,TYNAARLO,Terra VO Eelde,"Terra, Eelde VO",247 km,246594.0,8 uur 1 min.,28885.0,OK,OK,53.14035999999999,6.571063,test
"Linnaeuslaan 2, 1431 JV Aalsmeer, Netherlands",01OE,AALSMEER,Wellantcollege MBO Aalsmeer,Wellantcollege,"46,0 km",46019.0,1 uur 4 min.,3822.0,OK,OK,52.2623854,4.766776999999999,test
"Abdijstraat 36, 5473 AG Heeswijk Dinther, Netherlands",02DW,BERNHEZE,Gymnasium Bernrode,Gymnasium Bernrode,131 km,130558.0,8 uur 29 min.,30516.0,OK,OK,51.6538859,5.4724707,test
"Sportlaan 3a, 2641 AZ Pijnacker, Netherlands",02DZ,PIJNACKER-NOOTDORP,Stanislascollege Pijnacker,Sint Stanislascollege,"21,8 km",21813.0,52 min.,3116.0,OK,OK,52.0243805,4.4192056,test
"Nieuwe 's-Gravelandseweg 38, 1405 HM Bussum, Netherlands",02EV,GOOISE MEREN,Willem de Zwijger College,W De Zwijgercoll Chr SGM,"70,9 km",70941.0,1 uur 39 min.,5957.0,OK,OK,52.2746645,5.1541057,test
"Sypel 2, 3842 AE Harderwijk, Netherlands",02EX,HARDERWIJK,tomorrow College,"loc, Morgen College",100 km,100325.0,2 uur 10 min.,7776.0,OK,OK,52.3417633,5.6242627,test
"Vennemeerstraat 5, 2334 DE Leiden, Netherlands",02EA,LEIDEN,Driestar College,Driestar College,"2,7 km",2729.0,19 min.,1138.0,OK,OK,52.1727387,4.4844325,test
"De Omloop 4, 9411 KA Beilen, Netherlands",02EB,MIDDEN-DRENTHE,CSG Beilen,Chr SGM Vincent van Gogh,232 km,231946.0,8 uur 30 min.,30577.0,OK,OK,52.8584951,6.5079828,test
"César Franckstraat 4, 7604 JG Almelo, Netherlands",02EK,ALMELO,Pius X College Aalderinkshoek,Pius X College,194 km,194473.0,2 uur 37 min.,9434.0,OK,OK,52.360686,6.6442874,test
"Stationslaan 26, 3842 LA Harderwijk, Netherlands",02FB,HARDERWIJK,CCNV,CCNV,"99,7 km",99746.0,2 uur 3 min.,7354.0,OK,OK,52.3396479,5.6214046,test
"Brahmsstraat 7, 1077 HE Amsterdam, Netherlands",02AR,AMSTERDAM,Reformed Lyceum South,Het Hervormd Lyc Zuid,"47,5 km",47493.0,55 min.,3284.0,OK,OK,52.3481806,4.878792,test
"Vossemeerdijk 40, 8251 PN Dronten, Netherlands",01XN,DRONTEN,International Transitional Class Almere College,Almere College,134 km,134051.0,2 uur 53 min.,10360.0,OK,OK,52.5477868,5.8486835,test
"Reijnier Vinkeleskade 53, 1071 SW Amsterdam, Netherlands",02AN,AMSTERDAM,Fons Vitae Lyceum,Fons Vitae Lyceum,"48,4 km",48444.0,1 uur 4 min.,3841.0,OK,OK,52.3518585,4.8784313,test
"Elegast 5, 1185 AA Amstelveen, Netherlands",02QZ,AMSTELVEEN,Keizer Karel College,Keizer Karel College,"48,3 km",48297.0,1 uur 10 min.,4173.0,OK,OK,52.3022005,4.850327099999999,test
"Waaiershoek 46, 8321 BH Urk, Netherlands",18XX,URK,Berechja College,Berechja College,150 km,150073.0,2 uur 31 min.,9052.0,OK,OK,52.66887,5.606436,test
"Emmastraat 58, 1213 AL Hilversum, Netherlands",00PS,HILVERSUM,At Scholen PO,AT Scholen VO,"77,7 km",77672.0,1 uur 21 min.,4853.0,OK,OK,52.2188617,5.181778899999999,test
"Pomonalaan 45, 4613 ES Bergen op Zoom, Netherlands",02HI,BERGEN OP ZOOM,Pomona,Pomona VMBO,113 km,112766.0,1 uur 59 min.,7168.0,OK,OK,51.507034,4.2846433,test
"31, Van Doornenplantsoen, 2722 ZA Zoetermeer, Netherlands",00PJ,ZOETERMEER,Erasmus College,Erasmuscollege,"28,2 km",28201.0,51 min.,3048.0,OK,OK,52.0604251,4.5044757,test
"Professor Waterinklaan 41, 3312 KM Dordrecht, Netherlands",00PG,DORDRECHT,Wartburg College,Wartburg College,"61,5 km",61472.0,1 uur 19 min.,4715.0,OK,OK,51.80120350000001,4.6797515,test
"Broekweg 1, 2035 LE Haarlem, Netherlands",02KM,HAARLEM,Haarlem College,Haarlem College,"34,4 km",34412.0,59 min.,3543.0,OK,OK,52.369433,4.64945,test
"Professor Lorentzstraat 3, 8302 AS Emmeloord, Netherlands",02KR,NOORDOOSTPOLDER,Bonifatius mavo,St Bonifatius Mavo,136 km,136377.0,2 uur 4 min.,7464.0,OK,OK,52.7129335,5.756621200000001,test
"Langelaan 1, 2211 XT Noordwijkerhout, Netherlands",02KB,NOORDWIJKERHOUT,Teylingen College Leeuwenhorst,Teylingen College,"15,9 km",15944.0,1 uur 2 min.,3726.0,OK,OK,52.2510748,4.4746491,test
"Langeweg 107, 3245 KG Sommelsdijk, Netherlands",02IC,GOEREE-OVERFLAKKEE,Edudelta College Middelharnis,Edudelta College Middelharnis,"93,2 km",93205.0,2 uur 15 min.,8073.0,OK,OK,51.75189049999999,4.1587928,test
"Peppellaan 1, 8302 AL Emmeloord, Netherlands",02JG,NOORDOOSTPOLDER,Emelwerda College,Emelwerda College,137 km,136531.0,2 uur 6 min.,7586.0,OK,OK,52.715167,5.749240599999999,test
"Olympiaweg 395, 3078 HT Rotterdam, Netherlands",02LB,ROTTERDAM,Openb Sgm Nieuw Zuid,Openb SGM Nieuw Zuid,"47,4 km",47440.0,1 uur 20 min.,4771.0,OK,OK,51.8867691,4.5401261,test
"Groen van Prinsterersingel 49, 2805 TD Gouda, Netherlands",02LG,GOUDA,Carmelcollege Gouda,Carmelcollege Gouda,"34,0 km",34041.0,1 uur 17 min.,4595.0,OK,OK,52.0266422,4.712729,test
"Maelsonstraat 26, 1624 NP Hoorn, Netherlands",02ME,HOORN,Tabor College Bestuursbureau,Tabor College,"84,3 km",84289.0,1 uur 19 min.,4740.0,OK,OK,52.6470914,5.0518214,test
"Bronckhorst, Netherlands",02FC,BRONCKHORST,Bronckhorst,PC College Ulenhof,174 km,174275.0,7 uur 45 min.,27870.0,OK,OK,52.0755954,6.180891799999999,test
"Bolwerk-Zuid 170, 4611 DS Bergen op Zoom, Netherlands",02FY,BERGEN OP ZOOM,OMO Scholengroep Bergen op Zoom e.o.,OMO Scholengr. Bergen op Zoom,111 km,111457.0,1 uur 53 min.,6788.0,OK,OK,51.4991942,4.2896461,test
"Oosterhout, Netherlands",02GF,OOSTERHOUT,Oosterhout,Mgr Frencken College,"98,6 km",98638.0,1 uur 59 min.,7115.0,OK,OK,51.6410202,4.8616901,test
"Schimmelpenninckstraat 17, 3039 KS Rotterdam, Netherlands",02GS,ROTTERDAM,Sgm Montessori Lyc Rdam,SGM Montessori Lyc Rdam,"40,1 km",40091.0,59 min.,3543.0,OK,OK,51.92476490000001,4.4600217,test
"Rijksweg Zuid 70, 6134 AD Sittard, Netherlands",02IB,SITTARD-GELEEN,Dacapocollege Rijksweg Zuid,DaCapocollege Rijksweg Zuid,262 km,261748.0,6 uur 35 min.,23684.0,OK,OK,50.9953379,5.8595996,test
"Aart van der Leeuwkade 14, 2274 KX Voorburg, Netherlands",02MU,LEIDSCHENDAM-VOORBURG,Sint-Maartenscollege,St Maartenscollege SGM,"16,0 km",16037.0,38 min.,2261.0,OK,OK,52.07336369999999,4.3563366,test
"Dunklerstraat 7, 2517 SW Den Haag, Netherlands",02GJ,S GRAVENHAGE,Christian College De Populier Lower General Secondary Education,Chr Coll De Populier,"20,9 km",20866.0,53 min.,3208.0,OK,OK,52.0839826,4.2759981,test
"Adriaan Stoopplein 7, 2051 KA Overveen, Netherlands",02GN,BLOEMENDAAL,Kennemer Lyceum,SGM Kennemer Lyceum,"31,1 km",31143.0,52 min.,3126.0,OK,OK,52.391281,4.620769,test
"Houtrustweg 2, 2566 HA Den Haag, Netherlands",02GP,S GRAVENHAGE,E.S. Den Haag Rijnlands Lyceum,Het Rijnlands Lyceum,"21,2 km",21199.0,57 min.,3449.0,OK,OK,52.0833259,4.273339,test
