Adres_volgens_Google,Brin,Gemeente,Instellingsnaam_volgens_Google,NaamInstelling,OvAfstand,OvAfstandMeter,OvReistijd,OvReistijdSeconden,StatusGoogleAfstand,StatusGoogleLonLat,latitude,longitude,test
"Dierensteinweg 4, 2991 XJ Barendrecht, Netherlands",31EX,BARENDRECHT,Focus BeroepsAcademie,CSG Calvijn Focus Barendrecht,"49,8 km",49796.0,1 uur 27 min.,5234.0,OK,OK,51.8620083,4.5396924,test
"Arnhemse Bovenweg 98, 3708 AG Zeist, Netherlands",00MK,ZEIST,De Breul,Kath SGM De Breul,"63,3 km",63295.0,1 uur 31 min.,5439.0,OK,OK,52.0722698,5.258543899999999,test
"Oude Dreef 6, 2741 ST Waddinxveen, Netherlands",00BD,WADDINXVEEN,Coenecoop College,Coenecoop College,"26,1 km",26120.0,1 uur 8 min.,4068.0,OK,OK,52.03814029999999,4.651100899999999,test
"Loolaan 125, 2271 TM Voorburg, Netherlands",00HI,LEIDSCHENDAM-VOORBURG,Sgm Dalton Vatel,SGM Dalton Vatel,"16,5 km",16531.0,55 min.,3279.0,OK,OK,52.0763019,4.3711274,test
"Betuwestraat 29, 1079 PR Amsterdam, Netherlands",00EF,AMSTERDAM,Hubertus & Berkhoff,Hubertus & Berkhoff,"47,7 km",47695.0,54 min.,3234.0,OK,OK,52.3393431,4.8938976,test
"Nieuwstraat 50, 4501 BE Oostburg, Netherlands",00AQ,SLUIS,zwin College,Zwin College SGM,193 km,193232.0,4 uur 13 min.,15165.0,OK,OK,51.32387840000001,3.4855177,test
"Zeldenrustlaan 2, 4535 EG Terneuzen, Netherlands",00LY,TERNEUZEN,Lodewijkcollege,Zeldenrust Steelantcollege,188 km,188157.0,3 uur 19 min.,11941.0,OK,OK,51.311336,3.858382,test
"Slingelaan 28, 7122 AW Aalten, Netherlands",00LJ,AALTEN,Christelijk College Schaersvoorde,Chr Coll Schaersvoorde,162 km,161776.0,3 uur 0 min.,10775.0,OK,OK,51.92580599999999,6.573428,test
"Paladijnenweg 251, 3813 DH Amersfoort, Netherlands",00JT,AMERSFOORT,GSG Guido,GSG Guido,"98,1 km",98105.0,1 uur 38 min.,5870.0,OK,OK,52.1689286,5.387885799999999,test
"Energieweg 93, 6541 CZ Nijmegen, Netherlands",14NQ,NIJMEGEN,Dominicus College,Dominicus,132 km,131704.0,2 uur 38 min.,9496.0,OK,OK,51.8377501,5.816738399999999,test
