# SOURCE  AMPLITUDE   MEAN   STDDEV 
# 
    DR4b 0.015735 417.7788 94.65560
     ip1 0.813743 70.82471 84.62531
  3C353b 0.062517 328.9744 72.19051
  3C295b 0.018924 338.8864 111.5753
   3C286 0.018769 329.0644 108.3451
    CasA 1.091808 311.9007 127.2719
    OriA 0.517043 334.5147 70.44148
  3C273b 0.053183 340.8921 74.68898
    PerA 0.038295 299.2020 149.7234
   VirAb 0.202087 332.3276 72.60356
  Bl-Lac 0.005089 218.8102 257.7936
    DR21 0.026842 501.5814 52.04384
    OriB 0.091364 471.3494 160.0209
  SCUTUM 0.109461 251.2499 139.7951
   CygAb 1.184254 322.2022 92.62814
    CgX3 0.000557 421.9382 1.175494
  3C227b 0.259966 6.189971 8.992951
   3C123 0.043764 335.5416 84.55318
   3C295 0.024404 352.5367 97.21162
    TauA 0.878027 334.4525 73.97504
   3C227 47.97252 6271.565 1401.510
    VirA 0.203722 330.0088 72.53523
   7027b 0.008947 165.0733 235.1759
  3C309b 0.014251 287.4449 163.5453
 Jupiter 0.016424 340.1253 90.49532
   3C309 0.009971 325.3405 121.0834
   CgX3b 0.006636 497.6720 1.175494
  3C249b 0.008591 47.96866 194.0703
tip2_az0 0.008511 88.86625 24.86706
    7027 0.010473 73.87130 299.9198
Jupiterb 9.590466 -6468.45 1718.740
  3C348b 0.043925 326.6123 69.61725
   3C161 0.025816 323.4545 151.5919
  saturn 0.168052 171.3003 69.80289
   DR21b 408.3984 -3264.64 800.8343
   3C270 0.026814 339.2319 77.29336
 Bl-Lacb 0.008279 246.6247 221.5615
  3C270b 0.028895 205.6680 169.7921
  3C286b 0.015097 337.9964 120.1227
     DR4 0.012727 422.8594 116.4708
   3C353 0.054376 331.8013 65.12884
   3C218 0.050124 321.5930 90.09533
    CygA 1.038449 309.3571 92.11596
   3C273 0.057603 325.9245 75.22607
   CasAb 1.258819 314.0545 125.0536
   3C147 0.025467 339.6665 108.4417
   3C348 0.045488 309.8847 96.10473
   3C249 0.007248 153.7530 219.1109
tip2_az1 0.821004 70.73469 88.44303
 SCUTUMb 0.028209 176.9940 278.8599
